"Project Identifier","Group","Identifier","Title","PI","Requester","Lead Analyst","Analyst","Status","Assistance Type","Expertise","Submission Date","COVID-19 Related"
"CCBR-1099","CCBR","1099","Immunotherapy combination Lair2-Fc and Trap","Claudia Palena","Lucas Horn","--","--","Re Assigned","Data Analysis","None","Jan 05, 2021","No"
"CCBR-1001","CCBR","1001","TCGA Glioma RNASeq data analysis","Kenneth Aldape","Rustamzhon Turakulov","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq","Jan 01, 2021","No"
"CCBR-1098","CCBR","1098","circRNA-Divergent PCR Enrichment","Joseph Ziegelbauer","Sarah Dremel","Vishal Koparde","--","Completed","Data Analysis","Other","Dec 17, 2020","No"
"CCBR-1097","CCBR","1097","Total RNA-Seq Analysis","Joseph Ziegelbauer","Sarah Dremel","Vishal Koparde","--","Completed","Data Analysis","Bulk RNA-seq;Other","Dec 14, 2020","No"
"CCBR-1095","CCBR","1095","Molecular features of IDH mutant astrocytomas with poor outcomes","Mark Gilbert","Matthew Smith-Cohn","Thomas Meyer","--","Completed","Training","Other","Dec 03, 2020","No"
"CCBR-1094","CCBR","1094","LF16 DNT RNAseq","James Hodge","Sarah Franks","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq","Dec 01, 2020","No"
"CCBR-1093","CCBR","1093","TBATA RNA-seq","Ronald Gress","Francis Flomerfelt","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq","Nov 20, 2020","No"
"CCBR-1092","CCBR","1092","Renal cell carcinoma","Maria Merino-neumann","Saber Tadros","Darryl Nousome","--","Completed","Data Analysis","Whole Exome Sequencing","Nov 17, 2020","No"
"CCBR-1091","CCBR","1091","Data clean-up and visualization","Chun zhang Yang","Chun zhang Yang","--","--","Completed","Data Analysis","Whole Exome Sequencing","Nov 10, 2020","No"
"CCBR-1089","CCBR","1089","WES of Familial Renal Oncocytoma","William Linehan","Christopher Ricketts","--","--","Completed","Data Analysis","Other","Nov 02, 2020","No"
"CCBR-1088","CCBR","1088","Precision immunotherapy targeting of CD206high M2-like tumor associated macrophages in patient-derived xenotransplantation model","Udo Rudloff","Bogdan Domrachev","--","--","Cancelled","Data Analysis","Bulk RNA-seq","Oct 30, 2020","No"
"CCBR-1087","CCBR","1087","HLRCC_WGS","Christopher Ricketts","Dionna Gamble","Darryl Nousome","--","Completed","Experimental Design","Whole Exome Sequencing;Whole Genome Sequencing;Other","Oct 29, 2020","No"
"CCBR-1086","CCBR","1086","Paragangliomas","Maria Merino-neumann","Beatriz Walter Rodriguez","Alexei Lobanov","Nathan Wong","Completed","Data Analysis","miRNA-Seq;Other","Oct 22, 2020","No"
"CCBR-1085","CCBR","1085","Identification of cell types with avb3 expression in pancreatic cancer tumor.","Christine Alewine","Zafir Ahmed","Philip Homan","--","In Progress","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Oct 20, 2020","No"
"CCBR-1084","CCBR","1084","WES on breast cancer","Stefan Ambs","Wei Tang","--","--","Completed","Data Analysis","Whole Exome Sequencing","Oct 19, 2020","No"
"CCBR-1083","CCBR","1083","Prediction of cancer neoantigen-reactive T-cell clonotypes by CITE-seq","James Yang","Kenichi Hanada","Nathan Wong","Vishal Koparde; Alexei Lobanov","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Oct 09, 2020","No"
"CCBR-1082","CCBR","1082","COXEN, Bladder cancer, and Sequence Analysis","Andrea Apolo","Rene Costello","Darryl Nousome","--","Completed","Data Analysis","Bulk RNA-seq;Whole Exome Sequencing","Oct 02, 2020","No"
"CCBR-1081","CCBR","1081","CAR T-cell Associated HLH","Nirali Shah","Nirali Shah","Philip Homan","--","Completed","Data Analysis","Bulk RNA-seq","Oct 02, 2020","No"
"CCBR-1080","CCBR","1080","LKB1 KO liver","Natalie Porat-shliom","Natalie Porat-shliom","Alexei Lobanov","--","Completed","Data Analysis","Bulk RNA-seq","Sep 25, 2020","No"
"CCBR-1079","CCBR","1079","HMGN and H3K9 modifications","Michael Bustin","Yuri Postnikov","Alexei Lobanov","--","Completed","Data Analysis","ChIP-Seq","Sep 15, 2020","No"
"CCBR-1078","CCBR","1078","Coleman_smallRNA","C Coleman","Uma Shankavaram","Alexei Lobanov","--","Completed","Data Analysis","Bulk RNA-seq;miRNA-Seq","Sep 10, 2020","No"
"CCBR-1077","CCBR","1077","In situ high-throughput detection of cancer-related alterations in tissues for the study of colorectal carcinogenesis.","Thomas Misteli","Isabel Quintanilla Leo","--","--","Completed","Experimental Design","Whole Exome Sequencing;Bulk RNA-seq","Sep 09, 2020","No"
"CCBR-1076","CCBR","1076","Role of myeloid CEBPD in tumor-induced immune system response","Gisela Sterneck","Gisela Sterneck","Yu Fan","--","Re Assigned","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Sep 02, 2020","No"
"CCBR-1075","CCBR","1075","3D culture conditions (IBC)","Gisela Sterneck","Gisela Sterneck","Yu Fan","--","Re Assigned","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Sep 02, 2020","No"
"CCBR-1074","CCBR","1074","Bev-Das patient samples","Christina Annunziata","Christina Annunziata","Darryl Nousome","--","Completed","Data Analysis","Bulk RNA-seq;Whole Exome Sequencing","Sep 02, 2020","No"
"CCBR-1073","CCBR","1073","Control of p53 transcriptional activity by its 3'UTR","Peter Johnson","Peter Johnson","Skyler Kuhn","--","Completed","Data Analysis","Bulk RNA-seq","Sep 01, 2020","No"
"CCBR-1072","CCBR","1072","CS023730","David Roberts","Rajdeep Banerjee","Thomas Meyer","--","Primary Analysis Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Aug 11, 2020","No"
"CCBR-1071","CCBR","1071","Analysis of HNRNPK and GCN1 Binding regions in the genome","Jonathan Hernandez","Surajit Sinha","Vishal Koparde","--","Completed","Data Analysis","ChIP-Seq","Aug 11, 2020","No"
"CCBR-1070","CCBR","1070","RAS-LSL (PLX inhibitor)","Stuart Yuspa","Christophe Cataisson","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq","Aug 10, 2020","No"
"CCBR-1069","CCBR","1069","Mitochondrial gene expression in breast cancer","Stanley Lipkowitz","Yoshimi Greer","Samantha Chill","Vishal Koparde","Completed","Data Analysis","Data Mining/Management/Integration","Aug 05, 2020","No"
"CCBR-1025","CCBR","1025","MmuPV1 integration","Zhi ming Zheng","Lulu Yu","Alexei Lobanov","--","Completed","Data Analysis","Other","Aug 03, 2020","No"
"CCBR-1068","CCBR","1068","Exome-Based Mutational Profiling of Gastric Cancer in African American Patients","Jonathan Hernandez","Jonathan Hernandez","--","--","Completed","Data Analysis","Other;Whole Genome Sequencing","Jul 31, 2020","No"
"CCBR-1067","CCBR","1067","ERV Immunotherapy","Christian Hinrichs","Christian Hinrichs","Vishal Koparde","--","Completed","Data Analysis","Bulk RNA-seq","Jul 28, 2020","No"
"CCBR-1066","CCBR","1066","conditioned medium incubation of MSLN KO cells","Christine Alewine","Leela rani Avula","Samantha Chill","Vishal Koparde","Completed","Data Analysis","Bulk RNA-seq","Jul 26, 2020","No"
"CCBR-1065","CCBR","1065","Mechanisms of PARP and CHK1 inhibitors resistance in ovarian cancer","Jung-min Lee","Tzu-ting Huang","Darryl Nousome","--","Completed","Data Analysis","Bulk RNA-seq;Whole Exome Sequencing","Jul 17, 2020","No"
"CCBR-1064","CCBR","1064","Ligandable Transcriptome Project","John Schneekloth","Curran Rhodes","Philip Homan","--","Completed","Data Analysis","Other","Jul 15, 2020","No"
"CCBR-1063","CCBR","1063","Gameiro bulk RNAseq","James Hodge","Sofia Gameiro","Thomas Meyer","Jing Bian","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq);Bulk RNA-seq","Jul 10, 2020","No"
"CCBR-1062","CCBR","1062","Evaluation of immunomodulatory role of tumor necrosis factor-related apoptosis inducing ligand (TRAIL) in breast cancer.","Stanley Lipkowitz","Manjari Kundu Sil","Alexei Lobanov","--","Completed","Data Analysis","Bulk RNA-seq","Jul 07, 2020","No"
"CCBR-1061","CCBR","1061","Sequenza R packages for copy number analysis","Daniel Soppet","Bingfang Xu","--","--","Completed","Data Analysis","Whole Exome Sequencing","Jul 06, 2020","No"
"CCBR-1060","CCBR","1060","EFNB2 silencing for 24hr with Dox","Giovanna Tosato","Taekyu Ha","Parthav Jailwala","Vishal Koparde","Completed","Experimental Design","Bulk RNA-seq","Jul 02, 2020","No"
"CCBR-1059","CCBR","1059","Effect of Smad4 on Smad3-dependent alternative mRNA splicing","Ying Zhang","Christina Stuelten","Alexei Lobanov","Richard Finney","Completed","Training","Bulk RNA-seq","Jul 01, 2020","No"
"CCBR-1058","CCBR","1058","RNA seq on transporter subpopulation whitin thymus","Naomi Taylor","Marie Pouzolles","--","--","Completed","Experimental Design","Bulk RNA-seq","Jul 01, 2020","No"
"CCBR-1057","CCBR","1057","RAS and IL-36","Stuart Yuspa","Christophe Cataisson","Thomas Meyer","Alexei Lobanov; Richard Finney","Completed","Data Analysis","Bulk RNA-seq","Jun 18, 2020","No"
"CCBR-1056","CCBR","1056","PBMC scRNA analysis-MEDIO Respoder/Nonresponder","Anish Thomas","Nobuyuki Takahashi","Thomas Meyer","Abdalla Abdelmaksoud","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","May 29, 2020","No"
"CCBR-1055","CCBR","1055","Expression of Stemness and Immune related genes in subclasses of cholangiocarcinoma","Changqing Xie","Nicole McGrath","Alexei Lobanov","--","Completed","Data Analysis","Data Mining/Management/Integration;Microarray","May 16, 2020","No"
"CCBR-1054","CCBR","1054","T cell Receptor Sequencing","Jeffrey Schlom","Duane Hamilton","Christian Sidak","--","On Hold","Training","Bulk RNA-seq","Apr 30, 2020","No"
"CCBR-1031","CCBR","1031","LITB Single-cell RNA-seq of Kidney Tumors","William Linehan","Laura Schmidt","Jing Bian","Thomas Meyer","In Progress","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Apr 01, 2020","No"
"CCBR-1010","CCBR","1010","CAR Sequencing","James Kochenderfer","Norris Lam","Richard Finney","--","Completed","Data Analysis","Bulk RNA-seq","Mar 12, 2020","No"
"CCBR-1053","CCBR","1053","Drug Resistance Pathways - Cholangiocarcinoma","Jonathan Hernandez","Hanna Hong","Da Yin","--","Completed","Data Analysis","Bulk RNA-seq","Mar 11, 2020","No"
"CCBR-1052","CCBR","1052","TrkA KFG domain knockout response to fear conditioning","Lino Tessarollo","Sudhirkumar Yanpallewar","Skyler Kuhn","--","Completed","Data Analysis","Bulk RNA-seq","Mar 03, 2020","No"
"CCBR-1051","CCBR","1051","Mutation Status cholangiocellular cell line","Tim Greten","Simon Wabitsch","--","--","Completed","Data Analysis","Whole Exome Sequencing","Mar 02, 2020","No"
"CCBR-1050","CCBR","1050","Dissect distinguishing feature of responders of immunotherapy in patients with HCC or biliary tract cancer","Tim Greten","Changqing Xie","Erica Pehrsson","--","Re Assigned","Data Analysis","Whole Exome Sequencing","Feb 25, 2020","No"
"CCBR-1049","CCBR","1049","Dissect distinguishing feature of responders of immunotherapy in patients with HCC or biliary tract cancer","Tim Greten","Changqing Xie","--","--","Re Assigned","Data Analysis","Bulk RNA-seq","Feb 25, 2020","No"
"CCBR-1048","CCBR","1048","Overexpression of hTLX3 in association mutant IL7R_ are sufficient to generate T-ALL in vivo","Scott Durum","Gisele Rodrigues","Nathan Wong","Vishal Koparde","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Feb 21, 2020","No"
"CCBR-1047","CCBR","1047","Analysis of MBD3 binding regions in the genome and identification of putative gene targets","Jonathan Hernandez","Surajit Sinha","Vishal Koparde","--","Completed","Data Analysis","ChIP-Seq","Feb 19, 2020","No"
"CCBR-1046","CCBR","1046","Functional classification of BRCA2 mutations using CRISPR-Cas9","Shyam Sharan","Sounak Sahu","Darryl Nousome","--","Completed","Data Analysis","Other","Feb 13, 2020","No"
"CCBR-1045","CCBR","1045","Ablation of Arf1 in the neuron disturb the lipid metabolism and induce M1 microglia and A1 astrocytes in adult mice","Joel Schneider","Guohao Wang","Da Yin","--","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Feb 12, 2020","No"
"CCBR-1044","CCBR","1044","SCLC Single Cell Sequencing","Anish Thomas","Christopher Schultz","Nathan Wong","Vishal Koparde","Completed","Experimental Design","Single-cell Seq (RNA/ATAC/etc Seq)","Feb 05, 2020","No"
"CCBR-1043","CCBR","1043","lnc-FANCI-2 KO (CS023898)","Zhi ming Zheng","Haibin Liu","Thomas Meyer","--","Cancelled","Data Analysis","Bulk RNA-seq","Jan 30, 2020","No"
"CCBR-1042","CCBR","1042","RNA-seq analyses of cells with telomere dysfucntion","Eros Lazzerini Denchi","Benura Azeroglu Jaramillo Riveri","--","--","Cancelled","Data Analysis","Bulk RNA-seq","Jan 27, 2020","No"
"CCBR-1041","CCBR","1041","anti-CD19/CD20 CAR T","James Kochenderfer","Shicheng Yang","--","--","Cancelled","Experimental Design","None","Jan 24, 2020","No"
"CCBR-1040","CCBR","1040","scTCRseq analysis for b5t-dependent TCR repertoire formation","Yousuke Takahama","Yousuke Takahama","Abdalla Abdelmaksoud","Christian Sidak; Thomas Meyer","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Jan 24, 2020","No"
"CCBR-829","CCBR","829","hetIL-15 and immune cell recruitment in tumors","George Pavlakis","Cristina Bergamaschi","Margaret Cam","--","Completed","Data Analysis","Other","Jan 15, 2020","No"
"CCBR-1039","CCBR","1039","Id1 ablation in Tet2KO mice reduces proliferative stress and mutational load in hematopoietic stem and progenitor cells","Jonathan Keller","Shweta Singh","Philip Homan","Darryl Nousome","Completed","Data Analysis","Bulk RNA-seq;Whole Exome Sequencing","Jan 13, 2020","No"
"CCBR-951","CCBR","951","Mechanisms Intrinsic to alloreactive T cell dysfunction in response to PTCy","Christopher Kanakry","Rochelle Fletcher","Thomas Meyer","Jing Bian","Primary Analysis Completed","Data Analysis","Bulk RNA-seq;Single-cell Seq (RNA/ATAC/etc Seq)","Jan 10, 2020","No"
"CCBR-1038","CCBR","1038","T cell therapy for Hepatitis B associated liver cancer","Christian Hinrichs","Pradip Bajgain","Richard Finney","--","Completed","Experimental Design","Bulk RNA-seq","Jan 09, 2020","No"
"CCBR-1037","CCBR","1037","Cert hematologic malignancy","Jairaj Acharya","Jairaj Acharya","Mayank Tandon","--","Completed","Data Analysis","Whole Genome Sequencing","Jan 02, 2020","No"
"CCBR-1036","CCBR","1036","Understanding Mechanisms of Resistance to Vandetanib","Javed Khan","Brittany Glassberg","Da Yin","--","Completed","Data Analysis","Other","Jan 02, 2020","No"
"CCBR-1035","CCBR","1035","Single cell nuclear RNAseq","Brid Ryan","Brid Ryan","Nathan Wong","Vishal Koparde","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Dec 11, 2019","No"
"CCBR-1034","CCBR","1034","Cameroon NGS Study","Denise Whitby","Vickie Marshall","--","--","Completed","Data Analysis","Other","Dec 06, 2019","No"
"CCBR-1033","CCBR","1033","Effect of Zika virus infection","Michael Gottesman","Sachi Horibata","Skyler Kuhn","--","Completed","Data Analysis","Bulk RNA-seq","Dec 04, 2019","No"
"CCBR-1032","CCBR","1032","LMP400 and Olaparib in GBM","Jing Wu","Madison Butler","Vishal Koparde","--","Completed","Experimental Design","Bulk RNA-seq","Nov 15, 2019","No"
"CCBR-1030","CCBR","1030","NCI-KrugLab: STAT3 & 50STOP RNAseq","Laurie Krug","Chad Hogan","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq","Nov 11, 2019","No"
"CCBR-1029","CCBR","1029","Understanding Mechanisms of Resistance to Vandetanib in Patients with Medullary Thyroid Carcinoma","Javed Khan","Brittany Glassberg","--","--","Cancelled","Data Analysis","Other","Nov 05, 2019","No"
"CCBR-1028","CCBR","1028","RNA and Methylation Data Integration","Brid Ryan","Rony Arauz Melendez","Skyler Kuhn","--","Completed","Data Analysis","Bulk RNA-seq","Nov 04, 2019","No"
"CCBR-1027","CCBR","1027","Germline and Somatic Mutation Analysis of Adrenocortical Carcinoma Patients from the CCR Rare Tumor Clinic","Brigitte Widemann","Karlyne Reilly","Swapna Vidhur Daulatabad","--","Completed","Data Analysis","Whole Exome Sequencing","Oct 31, 2019","No"
"CCBR-1026","CCBR","1026","immunotherapy resistance contributed by cancer stem cells in cholangiocarcinoma","Changqing Xie","Changqing Xie","Jing Bian","--","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Oct 30, 2019","No"
"CCBR-1023","CCBR","1023","Human ZBP1 expression in breast cancer","Zhenggang Liu","Swati Choksi","--","--","Completed","Data Analysis","Data Mining/Management/Integration","Oct 25, 2019","No"
"CCBR-1022","CCBR","1022","Cytopenias nanostring","James Kochenderfer","James Kochenderfer","Margaret Cam","Thomas Meyer","Completed","Data Analysis","Other","Oct 23, 2019","No"
"CCBR-1021","CCBR","1021","Viral and Host response to JAK inhibitor treatment","Robert Yarchoan","Yiquan Wu","Daoud Meerzaman","--","Re Assigned","Data Analysis","Bulk RNA-seq","Oct 23, 2019","No"
"CCBR-1020","CCBR","1020","c-Myc ChIP-seq analysis with Spike-in normalization","Chengkai Dai","Chengkai Dai","--","--","Completed","Data Analysis","ChIP-Seq","Oct 22, 2019","No"
"CCBR-1019","CCBR","1019","FFPE of parathyroid","Haobin Chen","Haobin Chen","Richard Finney","--","Completed","Data Analysis","Whole Exome Sequencing","Oct 17, 2019","No"
"CCBR-1018","CCBR","1018","Whole Genome Sequence of Czech and Balb Mammary Populations","Gilbert Smith","Kim Meza","--","--","Completed","Data Analysis","Whole Genome Sequencing","Oct 16, 2019","No"
"CCBR-1017","CCBR","1017","MBD3 stabilizes MYC leading to metastatic outgrowth of pancreatic cancer in the liver","Jonathan Hernandez","Alok Ranjan","Vishal Koparde","--","Completed","Data Analysis","ChIP-Seq","Oct 15, 2019","No"
"CCBR-991","CCBR","991","Hila Yanai's project","Scott Durum","Hila Winer Yanai","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq","Oct 08, 2019","No"
"CCBR-664","CCBR","664","Induction of phenotypic changes in HER2-postive breast cancer cells in vivo and in vitro","Gilbert Smith","Lauren Ragel","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq","Oct 08, 2019","No"
"CCBR-1016","CCBR","1016","Role of GCN1 during metastatic outgrowth in pancreatic cancer","Jonathan Hernandez","Surajit Sinha","Da Yin","--","Completed","Data Analysis","Bulk RNA-seq","Oct 07, 2019","No"
"CCBR-1014","CCBR","1014","Cross-resistance of cisplatin-resistant cells to anti-microtubule drugs","Michael Gottesman","Sachi Horibata","Skyler Kuhn","--","Completed","Data Analysis","Bulk RNA-seq","Oct 03, 2019","No"
"CCBR-649","CCBR","649","lactation disruption in mice with knockout of Btn1a1, combining RNA-seq and Proteomics arms","Roberto Weigert","Ian Mather","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq","Oct 01, 2019","No"
"CCBR-846","CCBR","846","Characterization of uterine cancer cell lines with gene mutation, amplification, deletion, translocation and gene expression profiles","Christina Annunziata","Maria pia Morelli","--","--","Completed","Data Analysis","Bulk RNA-seq;Whole Exome Sequencing;Data Mining/Management/Integration","Sep 13, 2019","No"
"CCBR-720","CCBR","720","Genomic analysis of HPV-TIL trial samples and RRP trial samples","Christian Hinrichs","Andrew Sinkoe","--","--","Completed","Data Analysis","Bulk RNA-seq","Sep 13, 2019","No"
"CCBR-1013","CCBR","1013","Analyzing circular RNA back-spliced junctions in eCLIP data","Joseph Ziegelbauer","Joseph Ziegelbauer","Vishal Koparde","--","Completed","Data Analysis","ChIP-Seq","Sep 11, 2019","No"
"CCBR-1012","CCBR","1012","Host gene expression differentially modulated by laminin and neurotropic virus","Michael Gottesman","Rajalakshmi Padmanabhan","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq","Aug 11, 2019","No"
"CCBR-1011","CCBR","1011","SMYD3 -mediated mechanisms of oncogenicity and immunogenicity in head and neck cancer","Vassiliki Saloura","Vassiliki Saloura","--","--","Cancelled","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Aug 09, 2019","No"
"CCBR-1009","CCBR","1009","COMRADES, RNA-RNA interactions","Joseph Ziegelbauer","Joseph Ziegelbauer","Skyler Kuhn","--","Completed","Data Analysis","Other","Aug 07, 2019","No"
"CCBR-1008","CCBR","1008","Proteomics Analysis","Patricia Steeg","Imade Imasuen-williams","Amy Stonelake","--","Re Assigned","Data Analysis","Other","Aug 05, 2019","No"
"CCBR-1007","CCBR","1007","Defining the hepatocellular carcinoma surfaceome","Freddy Escorcia","Freddy Escorcia","Philip Homan","--","Primary Analysis Completed","Data Analysis","Data Mining/Management/Integration","Aug 02, 2019","No"
"CCBR-1006","CCBR","1006","Profiling differential expressed genes and methylation pattern in IDH1-mutated cells","Chun zhang Yang","Chun zhang Yang","Roxana Stefanescu","--","Completed","Data Analysis","Data Mining/Management/Integration","Jul 31, 2019","No"
"CCBR-1005","CCBR","1005","Chromatin accessibility as a driver of breast cancer disparity.","Stefan Ambs","Maeve Bailey-Whyte","Vishal Koparde","--","Completed","Data Analysis","ATAC-Seq","Jul 31, 2019","No"
"CCBR-1004","CCBR","1004","How does Runx1 contribute to CD8 T cell development","Alfred Singer","Zhongmei Zhang","Daoud Meerzaman","--","Re Assigned","Data Analysis","Bulk RNA-seq","Jul 29, 2019","No"
"CCBR-1003","CCBR","1003","Differentially expressed genes in lung cancer development and microbiome interaction","Curtis Harris","Chenran Zhang","Skyler Kuhn","--","Completed","Data Analysis","Bulk RNA-seq","Jul 23, 2019","No"
"CCBR-1000","CCBR","1000","switch recombination junctions","Kathrin Muegge","Kathrin Muegge","Richard Finney","--","Completed","Data Analysis","Other","Jul 17, 2019","No"
"CCBR-999","CCBR","999","scRNA-seq Heijung","Paul Roche","Hei jung Kim","Nathan Wong","--","Completed","None","Single-cell Seq (RNA/ATAC/etc Seq)","Jul 16, 2019","No"
"CCBR-998","CCBR","998","Screened Chemicals inhibit the cancer stem cells","Steven Hou","Guohao Wang","Kristin Valdez","--","Completed","Data Analysis","Microarray","Jul 10, 2019","No"
"CCBR-997","CCBR","997","TNF-Th17","Jonathan Ashwell","Muhammad Alam","Nathan Wong","--","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Jun 27, 2019","No"
"CCBR-996","CCBR","996","Tscm project","Luca Gattinoni","Jessica Fioravanti","Abdalla Abdelmaksoud","--","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Jun 26, 2019","No"
"CCBR-995","CCBR","995","Project_EricFreed_CS023758_36RNA_020619","Eric Freed","Melissa Fernandez","Daoud Meerzaman","--","Re Assigned","Data Analysis","Bulk RNA-seq","Jun 24, 2019","No"
"CCBR-994","CCBR","994","Gene Expression in Multiple Myeloma","James Kochenderfer","Norris Lam","Margaret Cam","--","Completed","Data Analysis","Data Mining/Management/Integration","Jun 20, 2019","No"
"CCBR-993","CCBR","993","TC32-NR0B1-mCherry Clone 7 WGS (and RNA-Seq)","Natasha Caplen","Natasha Caplen","--","--","Completed","Data Analysis","Whole Genome Sequencing","Jun 19, 2019","No"
"CCBR-576","CCBR","576","WES in BAP1- related familial kidney syndromes","William Linehan","Cathy Vocke","Darryl Nousome","--","Completed","Data Analysis","Whole Exome Sequencing","Jun 19, 2019","No"
"CCBR-992","CCBR","992","Mesothelioma","Stephen Hewitt","Cara Monroe","Margaret Cam","--","On Hold","Data Analysis","Other","Jun 12, 2019","No"
"CCBR-555","CCBR","555","WGS to detect germline variants in kidney cancer","William Linehan","Christopher Ricketts","--","--","Completed","Data Analysis","Whole Genome Sequencing","Jun 12, 2019","No"
"CCBR-990","CCBR","990","ATAC Seq AW112010","Howard Young","Michael Sanford","--","--","Cancelled","Experimental Design","ATAC-Seq","Jun 06, 2019","No"
"CCBR-989","CCBR","989","in silico analysis of somatostatin receptor in NET","Samira Sadowski","Samira Sadowski","Roxana Stefanescu","--","Completed","Data Analysis","Microarray;Data Mining/Management/Integration;Other","May 30, 2019","No"
"CCBR-988","CCBR","988","scRNA-seq of dendritic cells in tumor-draining lymph node","Paul Roche","Joanna Bandola-simon","Nathan Wong","Vishal Koparde","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","May 22, 2019","No"
"CCBR-889","CCBR","889","Effect of HBV blocking compound on expression in hepatocellular cell lines","Cheryl Winkler","Ping An","--","--","Cancelled","Data Analysis","Bulk RNA-seq","May 15, 2019","No"
"CCBR-987","CCBR","987","macroH2A deposition in Lsh deficient cells","Kathrin Muegge","Kathrin Muegge","Richard Finney","--","Completed","Data Analysis","ChIP-Seq","May 06, 2019","No"
"CCBR-929","CCBR","929","HLA tapasin dependence and immune control of HIV infection","Mary Carrington","Mary Carrington","George Nelson","--","Completed","Data Analysis","Other","May 06, 2019","No"
"CCBR-986","CCBR","986","ovarian cancer siRNA screen","Christina Annunziata","Christina Annunziata","Nathan Wong","--","Completed","Other","Other","May 01, 2019","No"
"CCBR-985","CCBR","985","KSHV-293T","Robert Yarchoan","David Davis","Vishal Koparde","--","Completed","Data Analysis","Bulk RNA-seq","Apr 29, 2019","No"
"CCBR-984","CCBR","984","Effect of Cyclophosphamide on alloreactive T cells in mice","Christopher Kanakry","Natalia Schneider Nunes","Jing Bian","Margaret Cam","In Progress","Data Analysis","Bulk RNA-seq;Single-cell Seq (RNA/ATAC/etc Seq)","Mar 15, 2019","No"
"CCBR-890","CCBR","890","Macaca RNA-Seq","Jay Berzofsky","Yongjun Sui","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq;Single-cell Seq (RNA/ATAC/etc Seq)","Mar 13, 2019","No"
"CCBR-983","CCBR","983","Patient sample: KSHV RNA-Seq Analysis","Joseph Ziegelbauer","Joseph Ziegelbauer","Vishal Koparde","--","Completed","Data Analysis","Bulk RNA-seq;Other","Mar 06, 2019","No"
"CCBR-982","CCBR","982","Fetal beta5t-venus (+) & (-) TECs","Yousuke Takahama","Yousuke Takahama","Abdalla Abdelmaksoud","Thomas Meyer","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Mar 01, 2019","No"
"CCBR-981","CCBR","981","colon cancer-exome sequencing","Frank Gonzalez","Yuhong Luo","--","--","Completed","Data Analysis","Whole Exome Sequencing","Mar 01, 2019","No"
"CCBR-980","CCBR","980","Making a pipeline for data analysis","Giovanna Tosato","Hidetaka Ohnuki","--","--","Cancelled","other","Other","Feb 26, 2019","No"
"CCBR-979","CCBR","979","Understanding differential gene expression in wild-type and mutant fallopian tube epithelial cells.","Karl Ried","Daniel Bronder","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq","Feb 22, 2019","No"
"CCBR-978","CCBR","978","Human whole exome seq. analysis in PEL patients","Joseph Ziegelbauer","Joseph Ziegelbauer","Daoud Meerzaman","--","Re Assigned","Data Analysis","Whole Exome Sequencing","Feb 14, 2019","No"
"CCBR-977","CCBR","977","MmuPV1 integration","Zhi ming Zheng","Vladimir Majerciak","Alexei Lobanov","--","Completed","Data Analysis","Other;Other NGS;Long-read technologies","Feb 06, 2019","No"
"CCBR-976","CCBR","976","HPV16 splicing -Nebraska","Zhi ming Zheng","Vladimir Majerciak","Alexei Lobanov","--","Completed","Data Analysis","Bulk RNA-seq","Feb 06, 2019","No"
"CCBR-975","CCBR","975","ChIPSeq project","Mark Gilbert","Aiguo Li","Skyler Kuhn","--","Completed","Data Analysis","ChIP-Seq","Feb 05, 2019","No"
"CCBR-974","CCBR","974","plxdc1-mediated transcriptome regulation","Lino Tessarollo","Kuo-sheng Hsu","Daoud Meerzaman","--","Re Assigned","Experimental Design","Bulk RNA-seq","Jan 24, 2019","No"
